"Item type","Authors","Editors","Title","Journal","Publication year","Volume","Issue","Pages","Institution","Edition","Publisher","Address","Book title","Proceedings title","Conference location","Date published","Date accessed","ISBN","ISSN","ISSN (alt.)","URLs","DOI","PMID","Arxiv ID","Abstract","Keywords","Notes","Affiliation","Language","Sub-type","Series","Archive prefix","Eprint ID","Primary class","Pages cited","School","Version"
"Journal Article","Kamran MA,Karimi B,Dellaert N","","Uncertainty in advance scheduling problem in operating room planning","Computers & Industrial Engineering","2018","126","","252-268","","","","","","","","2018","","","","","https://www.sciencedirect.com/science/article/pii/S0360835218304467;http://dx.doi.org/10.1016/j.cie.2018.09.030","10.1016/j.cie.2018.09.030","","","In this paper, we consider the Advance Scheduling Problem, in which candidate patients from the patients'waiting list have to be selected and allocated to the available operating room blocks in a short-term schedule, taking into consideration a number of restrictions. We determine the available blocks by a modified block scheduling strategy. We propose multiple objectives, including minimization of the patients waiting time, tardiness, cancellation, block overtime, and the number of surgery days of each surgeon within the planning horizon. In our problem, uncertainty is taken into account via stochastic surgery durations, but also a deterministic version is considered for reasons of comparison. We approach the problem with different formulations of two-stage stochastic programming and two-stage chance-constrained stochastic programming. We solve the proposed models through the sample average approximation (SAA) method and Benders decomposition technique. Based on examining the approaches on real hospital data, we illustrate that deterministic solutions do not fit properly in the stochastic environment for this problem. We also demonstrate that using a chance-constrained approach decreases the considerable variation between the deterministic and stochastic solution. Finally, we show that the SAA method and Benders decomposition algorithm can generate effective solutions in a relatively reasonable computational time in medium-sized problems.","Advance scheduling problem; Modified block scheduling policy; Stochastic two-stage/chance-constrained programming; Sample average approximation; Benders decomposition","","","","","","","","","","",""
"Journal Article","Kroer LR,Foverskov K,Vilhelmsen C,Hansen AS,Larsen J","","Planning and scheduling operating rooms for elective and emergency surgeries with uncertain duration","Operations Research for Health Care","2018","19","","107-119","","","","","","","","2018","","","","","https://www.sciencedirect.com/science/article/pii/S2211692317300188;http://dx.doi.org/10.1016/j.orhc.2018.03.006","10.1016/j.orhc.2018.03.006","","","In this paper we investigate the planning of operating rooms at Rigshospitalet, a large Danish hospital. Each operation must be assigned to a specific operating room and also be scheduled for a specific time while taking into account clinical guidelines. Both elective and emergency operations are included, such that the elective operations are planned while still taking potential emergency operations into consideration. Furthermore, the duration of each operation is uncertain. The aim is to construct robust operating room schedules that minimise overtime work and release unused capacity. Due to the uncertainty associated with arrival of emergency patients and also the duration of each operation, a deterministic model is not suitable for this problem. Therefore, we develop a stochastic model where operation duration can vary and where the arrivals of emergency patients are unknown. The stochastic model is computationally heavy, so two mixed integer programming based heuristics denoted 2-Step Relax-and-Fix and All Open Relax-and-Fix are developed to solve the problem. The computational study is based on an extensive dataset compromising 304 days. The heuristics give good results with half of the operating rooms having less than 8 min of overtime work. To test the robustness of the solutions we carry out a simulated implementation of the operation plans. The simulation shows that the heuristic solutions are fairly robust. In general, results show a clear potential for implementing the method for planning and scheduling of operating rooms at Rigshospitalet.","Operating room; Planning; Scheduling; Stochastic model; Heuristic","","","","","","","","","","",""
"Conference Paper","Gharbi A,Louly M,Azaiez MN","","Physician scheduling using goal programming-an application to a large hospital in Saudi Arabia","","2017","","","0922-0925","","","","","","2017 4th International Conference on Control, Decision and Information Technologies (CoDIT)","","2017-04","","","","","http://dx.doi.org/10.1109/CoDIT.2017.8102715","10.1109/CoDIT.2017.8102715","","","This paper proposes a goal programming model that provides Physician schedules with improved efficiency and staff satisfaction at an Emergency Department. Monthly schedules are currently manually produced by one physician using an Excel sheet. He is spending one entire week each month to build a schedule for physicians. The proposed model takes into account numerous constraints and goals. A comparison between the hospital and the proposed schedules shows major outperformance of the proposed one.","","","","","","","","","","","",""
"Journal Article","Turhan AM,Bilgen B","","Mixed integer programming based heuristics for the Patient Admission Scheduling problem","Computers & Operations Research","2017","80","","38-49","","","","","","","","2017","","","","","https://www.sciencedirect.com/science/article/pii/S0305054816302805;http://dx.doi.org/10.1016/j.cor.2016.11.016","10.1016/j.cor.2016.11.016","","","The Patient Admission Scheduling (PAS) problem is a combinatorial optimization problem where elective patients are automatically assigned to beds for the duration of their stay considering not only the medical necessity but also the patient preferences. Due to its combinatorial nature, solving the previously published problem instances to optimality is a difficult task. In this paper, we present two Mixed Integer Programming (MIP) based heuristics namely Fix-and-Relax (F&R) and Fix-and-Optimize (F&O) where PAS problem instances are decomposed into sub-problems and then the sub-problems are optimized. Our approach uses patient decomposition considering patient length-of-Stay (LoS), room preference, admission date, specialism choice, and age, as well as time decomposition considering different optimization window sizes. Quick solutions generated by F&R heuristic are used as an input to the F&O heuristic and are improved in an iterative nature. Main goal of the study is to provide high quality solutions in shorter run times. Computational findings show that the proposed heuristics provide promising results towards the solution of the problem in faster CPU times than the previously reported values where less than 15 percent gap from the best known solutions is achieved for most of the test instances, and as low as 5 percent gap for some of the sample data.","OR In Health Services; Patient Admission Scheduling; MIP based heuristics; Fix-and-Relax; Fix-and-Optimize","","","","","","","","","","",""
"Journal Article","Mateus C,Marques I,Captivo ME","","Local search heuristics for a surgical case assignment problem","Operations Research for Health Care","2018","17","","71-81","","","","","","","","2018","","","","","https://www.sciencedirect.com/science/article/pii/S2211692316301710;http://dx.doi.org/10.1016/j.orhc.2017.04.001","10.1016/j.orhc.2017.04.001","","","This work is part of an ongoing project with a Portuguese public hospital, where the elective surgeries scheduling problem is studied. The administration of the hospital aims to achieve the targets set by the Portuguese Ministry of Health for surgical production and to ensure a surgical service with a high level of efficiency. However, hospitals do not have an elective surgeries scheduling system, so the surgeries are unsystematically scheduled and without respecting equity criteria, thus disregarding the Ministry's goals. Three versions of the problem are considered and local search heuristics are developed in order to quickly find good solutions for each version of the problem. The heuristics select patients from a long waiting list for surgery to be scheduled in each week, and define a room, a day and a shift for each selected surgery according to one of three different perspectives of the problem. The heuristics developed are tested in real instances and the values of the solutions are compared with the values of the solutions obtained using mixed integer linear programming models. The solutions obtained by the heuristics are of very good quality and the computational time required is generally quite low, even considering the instances with more surgeries in the waiting list. In addition, a user-friendly interface is created for the hospital, which reads all the relevant data and proposes a weekly surgical schedule in a systematic manner.","Health services management; Elective surgeries scheduling; Heuristics; Local search; Interface","","","","","","","","","","",""
"Journal Article","Bai M,Storer RH,Tonkay GL","","A sample gradient-based algorithm for a multiple-OR and PACU surgery scheduling problem","IISE Transactions","2017","49","4","367-380","","","Taylor & Francis","","","","","04 2017","","","","","https://doi.org/10.1080/0740817X.2016.1237061;http://dx.doi.org/10.1080/0740817X.2016.1237061","10.1080/0740817X.2016.1237061","","","In this article, we study a surgery scheduling problem in multiple Operating Rooms (ORs) constrained by the Post-Anesthesia Care Unit (PACU) capacity within the block-booking framework. With surgery sequences predetermined in each OR, a Discrete-Event Dynamic System (DEDS) is devised for the problem. A DEDS-based stochastic optimization model is formulated in order to minimize the cost incurred from patient waiting time, OR idle time, OR blocking time, OR overtime, and PACU overtime. A sample gradient-based algorithm is proposed for the sample average approximation of our formulation. Numerical experiments suggest that the proposed method identifies near-optimal solutions and outperforms previous methods. We also show that considerable cost savings (11.8% on average) are possible in hospitals where PACU beds are a constraint.","","doi: 10.1080/0740817X.2016.1237061","","","","","","","","","",""
"Journal Article","Xiang W","","A multi-objective ACO for operating room scheduling optimization","Natural Computing","2017","16","4","607-617","","","","","","","","2017","","","","","https://doi.org/10.1007/s11047-016-9607-9;http://dx.doi.org/10.1007/s11047-016-9607-9","10.1007/s11047-016-9607-9","","","Operating room (OR) scheduling problem is commonly recognized as a multi-objective combinatorial optimization problem with several objectives from different perspectives, e.g. minimizing waiting time from patients'perspective, reducing overtime from medical staffs'perspective, increasing resource utilization from OR management's perspective etc. Those objectives are often conflicting. A meta-heuristic approach integrating Pareto sets and Ant Colony Optimization (ACO) is proposed to solve such multi-objective OR scheduling optimization problem. The Pareto sets construction and the modified ant graph model is introduced and two types of pheromone setting and updating strategies are compared to determine a more efficient multi-objective OR scheduling algorithm. The scheduling results by four different approaches, i.e. the simulation, the ACO with single objective of makespan (ACO-SO), the ACO with multi-objective by weighted sum method (ACO-weighted-sum), and the hybrid Pareto set-ACO with multi-objectives (PSACO-MO) are compared. The test case in the literature, which is from MD Anderson Cancer Center, is also used to evaluate the performance of the proposed approach. The computational results show that the PSACO-MO achieves good results in shortening makespan, reducing nurses'overtime and balancing resources'utilization in general.","","","","","","","","","","","",""
"Journal Article","Latorre-Núñez G,Lüer-Villagra A,Marianov V,Obreque C,Ramis F,Neriz L","","Scheduling operating rooms with consideration of all resources, post anesthesia beds and emergency surgeries","Computers & Industrial Engineering","2016","97","","248-257","","","","","","","","2016","","","","","https://www.sciencedirect.com/science/article/pii/S0360835216301577;http://dx.doi.org/10.1016/j.cie.2016.05.016","10.1016/j.cie.2016.05.016","","","Surgery rooms are among the most expensive resources in hospitals and clinics. Their scheduling is difficult because, in addition to the surgical room itself, each surgery requires a particular combination of human resources, as well as different pieces of equipment and materials. Furthermore, after each surgery, a post-anesthesia bed is required for the patient to recover. Finally, in addition to planned surgeries, the scheduling must be made in such a way as to accommodate the emergency surgeries that may arrive during each day, which must be attended within a limited time. We address the surgery scheduling problem considering simultaneously, for the first time, the operating rooms, the post anesthesia recovery, the resources required by the surgery and the possible arrival of emergency surgeries. We propose an integer linear programming model that allows finding optimal solutions for small size instances, we transform it to use constraint programming, and develop a metaheuristic based on a genetic algorithm and a constructive heuristic, that solves larger size instances. Finally, we present numerical experiments.","Operating room scheduling; Emergency surgeries; Hybrid flow shop; Constraint programming; Genetic algorithm","","","","","","","","","","",""
"Journal Article","Samudra M,Van Riet C,Demeulemeester E,Cardoen B,Vansteenkiste N,Rademakers FE","","Scheduling operating rooms: achievements, challenges and pitfalls","Journal of Scheduling","2016","19","5","493-525","","","","","","","","2016","","","","","https://doi.org/10.1007/s10951-016-0489-6;http://dx.doi.org/10.1007/s10951-016-0489-6","10.1007/s10951-016-0489-6","","","In hospitals, the operating room (OR) is a particularly expensive facility and thus efficient scheduling is imperative. This can be greatly supported by using advanced methods that are discussed in the academic literature. In order to help researchers and practitioners to select new relevant articles, we classify the recent OR planning and scheduling literature into tables regarding patient type, used performance measures, decisions made, OR up- and downstream facilities, uncertainty, research methodology and testing phase. Based on these classifications, we identify trends and promising topics. Additionally, we recognize three common pitfalls that hamper the adoption of research results by stakeholders: the lack of a clear choice of authors on whether to target researchers (contributing advanced methods) or practitioners (providing managerial insights), the use of ill-fitted performance measures in models and the failure to understandably report on the hospital setting and method-related assumptions. We provide specific guidelines that help to avoid these pitfalls. First, we show how to build up an article based on the choice of the target group (i.e., researchers or practitioners). Making a clear distinction between target groups impacts the problem setting, the research task, the reported findings, and the conclusions. Second, we discuss points that need to be considered by researchers when deciding on the used performance measures. Third, we list the assumptions that need to be included in articles in order to enable readers to decide whether the presented research is relevant to them.","","","","","","","","","","","",""
"Journal Article","Addis B,Carello G,Grosso A,Tànfani E","","Operating room scheduling and rescheduling: a rolling horizon approach","Flexible Services and Manufacturing Journal","2016","28","1","206-232","","","","","","","","2016","","","","","https://doi.org/10.1007/s10696-015-9213-7;http://dx.doi.org/10.1007/s10696-015-9213-7","10.1007/s10696-015-9213-7","","","In this work we consider the problem of selecting a set of patients among a given waiting list of elective patients and assigning them to a set of available operating room blocks. We assume a block scheduling strategy in which the number and the length of available blocks are given. As each block is related to a specific day, by assigning a patient to a block his/her surgery date is fixed, as well. Each patient is characterized by a recommended maximum waiting time and an uncertain surgery duration. In practical applications, new patients enter the waiting list continuously. Patient selection and assignment is performed by surgery departments on a short-term, usually a week, regular base. We propose a so-called rolling horizon approach for the patient selection and assignment. At each iteration short-term patient assignment is decided. However, in a look-ahead perspective, a longer planning horizon is considered when looking for the patient selection. The mid-term assignment over the next $$n$$weeks is generated by solving an ILP problem, minimizing a penalty function based on total waiting time and tardiness of patients. The approach is iteratively applied by shifting ahead the mid-term planning horizon. When applying the first week solution, unpredictable extensions of surgeries may disrupt the schedule. Such disruptions are recovered in the next iteration: the mid-term solution is rescheduled limiting the number of variations from the previously computed plan. Besides, the approach allows to deal with new patient arrivals. To keep limited the number of disruptions due to uncertain surgery duration, we propose also a robust formulation of the ILP problem. The deterministic and the robust formulation based frameworks are compared over a set of instances, including different stochastic realization of surgery times.","","","","","","","","","","","",""
"Journal Article","Riise A,Mannino C,Burke EK","","Modelling and solving generalised operational surgery scheduling problems","Computers & Operations Research","2016","66","","1-11","","","","","","","","2016","","","","","https://www.sciencedirect.com/science/article/pii/S0305054815001707;http://dx.doi.org/10.1016/j.cor.2015.07.003","10.1016/j.cor.2015.07.003","","","The term `surgery scheduling'is used to describe a variety of strategic, tactical and operational scheduling problems, many of which are critical to the quality of treatment and to the efficient use of hospital resources. We consider operational surgery scheduling problems. The exact problem formulation varies substantially between hospitals or, even, hospital departments. In addition, the level of detail varies between different planning situations, ranging from long term patient admission planning to the very detailed scheduling of a particular day׳s surgeries. This diversity makes it difficult to design general scheduling methods and software solutions that can be applied without extensive customisation for each application. We approach this challenge by proposing a new generalised model for surgery scheduling problems. We show how this model extends the multi-project, multi-mode resource constrained project scheduling problem with generalised time constraints, including some extensions that to our knowledge have not been previously studied. Furthermore, we present a search method for solving the proposed model. The algorithm uses on-line learning to balance computational loads between a construction and an improvement method, both working on high level solution representations. An adapted schedule generation scheme is used to map these to concrete schedules. We perform computational experiments using realistic problem instances from three surgery scheduling planning situations at a medium sized Norwegian hospital; day scheduling, week scheduling and admission planning. The results show that the algorithm performs well across these quite different problems without any off-line customisation or parameter tuning.","OR in health services; Project scheduling; Surgery scheduling; Operating room management; Heuristics","","","","","","","","","","",""
"Journal Article","Ceschia S,Schaerf A","","Dynamic patient admission scheduling with operating room constraints, flexible horizons, and patient delays","Journal of Scheduling","2016","19","4","377-389","","","","","","","","2016","","","","","https://doi.org/10.1007/s10951-014-0407-8;http://dx.doi.org/10.1007/s10951-014-0407-8","10.1007/s10951-014-0407-8","","","We revisit and extend the patient admission scheduling problem, in order to make it suitable for practical applications. The main novelty is that we consider constraints on the utilisation of operating rooms for patients requiring a surgery. In addition, we propose a more elaborate model that includes a flexible planning horizon, a complex notion of patient delay, and new components of the objective function. We design a solution approach based on local search, which explores the search space using a composite neighbourhood. In addition, we develop an instance generator that uses real-world data and statistical distributions so as to synthesise realistic and challenging case studies, which are made available on the web along with our solutions and the validator. Finally, we perform an extensive experimental evaluation of our solution method including statistically principled parameter tuning and an analysis of some features of the model and their corresponding impact on the objective function.","","","","","","","","","","","",""
"Journal Article","Zhang Z,Xie X","","Simulation-based optimization for surgery appointment scheduling of multiple operating rooms","IIE Transactions","2015","47","9","998-1012","","","Taylor & Francis","","","","","09 2015","","","","","https://doi.org/10.1080/0740817X.2014.999900;http://dx.doi.org/10.1080/0740817X.2014.999900","10.1080/0740817X.2014.999900","","","This study is devoted to the appointment scheduling (AS) for a sequence of surgeries with random durations served by multiple operating rooms (Multi-OR). Surgeries are assigned to ORs dynamically on a first-come, first-serve (FCFS) basis. It materially differs from past literature in the sense that dynamic assignments are proactively anticipated in the determination of appointment times. A discrete-event framework is proposed to model the execution of the surgery schedule and to evaluate the sample path gradient of a total cost incurred by surgeon waiting, OR idling, and OR overtime. The sample path cost function is shown to be unimodal, Lipchitz-continuous, and differentiable w.p.1 and the expected cost function continuously differentiable. A stochastic approximation algorithm based on unbiased gradient estimators is proposed and extensive numerical experiments suggest that it converges to a global optimum. A series of numerical experiments is performed to show the significant benefits of the Multi-OR setting and properties of the optimal solution with respect to various system parameters such as cost structure and numbers of surgeries and ORs.","","doi: 10.1080/0740817X.2014.999900","","","","","","","","","",""
"Journal Article","Molina-Pariente JM,Fernandez-Viagas V,Framinan JM","","Integrated operating room planning and scheduling problem with assistant surgeon dependent surgery durations","Computers & Industrial Engineering","2015","82","","8-20","","","","","","","","2015","","","","","https://www.sciencedirect.com/science/article/pii/S0360835215000157;http://dx.doi.org/10.1016/j.cie.2015.01.006","10.1016/j.cie.2015.01.006","","","There is evidence in the literature that most surgeries in hospitals are performed by a team composed of two surgeons, and that their experience largely influences the surgery duration. However, to the best our knowledge, only one contribution has addressed the operating room planning and scheduling problem with surgical teams, but in such case surgery durations did not depend on the experience of surgeons. In this paper we address an integrated operating room planning and scheduling problem with surgical teams composed by one or two surgeons where surgery durations depend on their experience and skills. We propose a mixed integer linear programming (MILP) model to optimally solve this problem. Given the high computation requirements of our MILP model, we also propose an iterative constructive method. In order to evaluate the performance of both exact and approximate methods, an extensive test bed is generated. The computational experience shows that the proposed algorithm is able to find feasible solution for all problems requiring shorter CPU time and average relative percentage deviation than the MILP model. Finally, the robustness of the so-obtained surgical schedules is analyzed using simulation.","Operations research in health services; Operating room planning and scheduling; Assistant surgeon dependent surgery duration; Approximate methods","","","","","","","","","","",""
"Journal Article","Xiang W,Yin J,Lim G","","An ant colony optimization approach for solving an operating room surgery scheduling problem","Computers & Industrial Engineering","2015","85","","335-345","","","","","","","","2015","","","","","https://www.sciencedirect.com/science/article/pii/S036083521500159X;http://dx.doi.org/10.1016/j.cie.2015.04.010","10.1016/j.cie.2015.04.010","","","Operating room surgery scheduling deals with determining operation start times of surgeries on hand and allocating the required resources to the scheduled surgeries, considering several constraints to ensure a complete surgery flow, the resource availability, and specialties and qualifications of human resources. This task plays a crucial role in providing timely treatments for the patients while ensuring the balance in the hospital's resource utilization. By observing similarities between operating room surgery scheduling and a multi-resource constraint flexible job shop scheduling problem (FJSSP) in manufacturing, this article proposes an Ant Colony Optimization (ACO) approach to efficiently solve such surgery scheduling problems based on the knowledge gained in FJSSP. Numerical experiments are performed on five surgery test cases with different problem sizes and resource availability. The performance of the ACO algorithm was compared against schedules generated by a discrete event system simulation model built in SIMIO on five test cases. The results showed a superior performance of ACO in makespan, overtime, and the variation coefficient of working time.","Surgery scheduling; Ant colony optimization; Multi-resource constraint FJSSP; Resource allocation; Operating room management","","","","","","","","","","",""
"Journal Article","Aringhieri R,Landa P,Soriano P,Tànfani E,Testi A","","A two level metaheuristic for the operating room scheduling and assignment problem","Computers & Operations Research","2015","54","","21-34","","","","","","","","2015","","","","","https://www.sciencedirect.com/science/article/pii/S030505481400224X;http://dx.doi.org/10.1016/j.cor.2014.08.014","10.1016/j.cor.2014.08.014","","","Given a surgery department comprising several specialties that share a fixed number of operating rooms and post-surgery beds, we study the joint operating room (OR) planning and advanced scheduling problem. More specifically, we consider the problem of determining, over a one week planning horizon, the allocation of OR time blocks to specialties together with the subsets of patients to be scheduled within each time block. The aim of this paper is to extend and generalize existing approaches for the joint OR planning and scheduling problem. First, by allowing schedules that include patients requiring weekend stay beds which was not the case previously. Second, by tackling simultaneously both the OR planning and patient scheduling decision levels, instead of taking them into account in successive phases. To achieve this, we exploit the inherent hierarchy between the two decision levels, i.e.,the fact that the assignment decisions of OR time blocks to surgical specialties directly affect those regarding the scheduling of patients, but not the reverse. The objective function used in this study is an extension of an existing one. It seeks to optimize both patient utility (by reducing waiting time costs) and hospital utility (by reducing production costs measured in terms of the number of weekend stay beds required by the surgery planning). 0--1 linear programming formulations exploiting the stated hierarchy are proposed and used to derive a formal proof that the problem is NP-hard. A two level metaheuristic is then developed for solving the problem and its effectiveness is demonstrated through extensive numerical experiments carried out on a large set of instances based on real data.","Operating room planning; Advanced scheduling; 0--1 model; Metaheuristic","","","","","","","","","","",""
"Journal Article","Bruni ME,Beraldi P,Conforti D","","A stochastic programming approach for operating theatre scheduling under uncertainty","IMA Journal of Management Mathematics","2014","26","1","99-119","","","","","","","","01 2014","","","1471-678X","","https://doi.org/10.1093/imaman/dpt027;http://dx.doi.org/10.1093/imaman/dpt027","10.1093/imaman/dpt027","","","Operating theatre scheduling is a critical task that directly impacts the efficient delivery of surgical care. In this context, we propose a comprehensive stochastic programming modelling framework which handles the inherent uncertainty characterizing the arrival of emergency patients and the duration of surgery. In particular, three recourse strategies are presented with the aim of modelling different reactive scheduling policies actually adopted by hospital managers. In order to solve realistic-sized instances in a reasonable amount of time, we develop tailored heuristic solution strategies that exploit the problem structure. Computational results obtained on a set of randomly generated problems show the effective impact of the stochastic programming approach and the efficiency of the proposed heuristics.","","","","","","","","https://academic.oup.com/imaman/article-pdf/26/1/99/2429536/dpt027.pdf","","","",""
"Journal Article","Fügener A,Hans EW,Kolisch R,Kortbeek N,Vanberkel PT","","Master surgery scheduling with consideration of multiple downstream units","European Journal of Operational Research","2014","239","1","227-236","","","","","","","","2014","","","","","https://www.sciencedirect.com/science/article/pii/S0377221714004160;http://dx.doi.org/10.1016/j.ejor.2014.05.009","10.1016/j.ejor.2014.05.009","","","We consider a master surgery scheduling (MSS) problem in which block operating room (OR) time is assigned to different surgical specialties. While many MSS approaches in the literature consider only the impact of the MSS on operating theater and operating staff, we enlarge the scope to downstream resources, such as the intensive care unit (ICU) and the general wards required by the patients once they leave the OR. We first propose a stochastic analytical approach, which calculates for a given MSS the exact demand distribution for the downstream resources. We then discuss measures to define downstream costs resulting from the MSS and propose exact and heuristic algorithms to minimize these costs.","OR in health services; Resource allocation; Master surgery scheduling; Ward and ICU occupancy","","","","","","","","","","",""
"Journal Article","Van Huele C,Vanhoucke M","","Analysis of the Integration of the Physician Rostering Problem and the Surgery Scheduling Problem","Journal of Medical Systems","2014","38","6","43","","","","","","","","2014","","","","","https://doi.org/10.1007/s10916-014-0043-z;http://dx.doi.org/10.1007/s10916-014-0043-z","10.1007/s10916-014-0043-z","","","In this paper, we present the Integrated Physician and Surgery Scheduling Problem (IPSSP) as a new approach for solving operating room scheduling problems where staff rosters for the physicians are integrated in the optimization. A mixed integer linear programming formulation is created based on the most frequently observed objective and restrictions of the surgery scheduling and the physician rostering problem in the literature. We analyze schedules by relaxing both surgery and physician related constraints. We then measure the implications of setting these physician preferences on the surgery schedule. Our experiments show two main interesting insights for physician roster schedulers as well as operating theatre scheduling managers.","","","","","","","","","","","",""
"Journal Article","Batun S,Denton BT,Huschka TR,Schaefer AJ","","Operating Room Pooling and Parallel Surgery Processing Under Uncertainty","INFORMS Journal on Computing","2023","23","2","220-237","","","INFORMS","","","","","2023-11-17","","","","","https://doi.org/10.1287/ijoc.1100.0396;http://dx.doi.org/10.1287/ijoc.1100.0396","10.1287/ijoc.1100.0396","","","Operating room (OR) scheduling is an important operational problem for most hospitals. In this study, we present a novel two-stage stochastic mixed-integer programming model to minimize total expected operating cost given that scheduling decisions are made before the resolution of uncertainty in surgery durations. We use this model to quantify the benefit of pooling ORs as a shared resource and to illustrate the impact of parallel surgery processing on surgery schedules. Decisions in our model include the number of ORs to open each day, the allocation of surgeries to ORs, the sequence of surgeries within each OR, and the start time for each surgeon. Realistic-sized instances of our model are difficult or impossible to solve with standard stochastic programming techniques. Therefore, we exploit several structural properties of the model to achieve computational advantages. Furthermore, we describe a novel set of widely applicable valid inequalities that make it possible to solve practical instances. Based on our results for different resource usage schemes, we conclude that the impact of parallel surgery processing and the benefit of OR pooling are significant. The latter may lead to total cost reductions between 21% and 59% on average.","","doi: 10.1287/ijoc.1100.0396","","","","","","","","","",""
"Journal Article","Gul S,Denton BT,Fowler JW,Huschka T","","Bi-Criteria Scheduling of Surgical Services for an Outpatient Procedure Center","Production and Operations Management","2023","20","3","406-417","","","John Wiley & Sons, Ltd","","","","","2023-11-17","","","","","https://doi.org/10.1111/j.1937-5956.2011.01232.x;http://dx.doi.org/10.1111/j.1937-5956.2011.01232.x","10.1111/j.1937-5956.2011.01232.x","","","","operating room; outpatient procedure; scheduling; simulation; genetic algorithm","","","","","","","","","","",""
"Journal Article","Roland B,Di Martinelly C,Riane F,Pochet Y","","Scheduling an operating theatre under human resource constraints","Computers & Industrial Engineering","2010","58","2","212-220","","","","","","","","2010","","","","","https://www.sciencedirect.com/science/article/pii/S0360835209000084;http://dx.doi.org/10.1016/j.cie.2009.01.005","10.1016/j.cie.2009.01.005","","","In the present economic context, the operating theatre is considered as a critical activity in health care management. By virtue of its huge consumption of human and material resources, the operating theatre is one of the most important sources of expenses of the hospitals. A less costly organization of the operating rooms calls for a more rational use of the resources and a more refined planning of the surgical units. In addition to these considerations, we are concerned about the well-being of the medical staff. We integrate this human factor into the optimization procedure by stressing the human resources'availabilities in the design of the schedules. This planning process is typically decomposed in two sequential phases: a planning stage followed by a scheduling stage. Due to this decomposition the resulting solutions may turn out to be sub-optimal. In this paper, we propose a formulation that includes both the planning and scheduling of the surgical operations. We also propose a heuristic solution procedure based on genetic algorithms to counter the large running times inherent in tackling this kind of hard optimization problem.","Scheduling; Health care management; Mixed-integer programming; Genetic algorithm","","","","","","","","","","",""
"Journal Article","Cardoen B,Demeulemeester E,Beliën J","","Operating room planning and scheduling: A literature review","European Journal of Operational Research","2010","201","","921-932","","","","","","","","03 2010","","","","","http://dx.doi.org/10.1016/j.ejor.2009.04.011","10.1016/j.ejor.2009.04.011","","","","","","","","","","","","","","",""
"Journal Article","Min D,Yih Y","","An elective surgery scheduling problem considering patient priority","Computers & Operations Research","2010","37","6","1091-1099","","","","","","","","2010","","","","","https://www.sciencedirect.com/science/article/pii/S0305054809002342;http://dx.doi.org/10.1016/j.cor.2009.09.016","10.1016/j.cor.2009.09.016","","","This paper addresses a scheduling problem where patients with different priorities are scheduled for elective surgery in a surgical facility, which has a limited capacity. When the capacity is available, patients with a higher priority are selected from the waiting list and put on the schedule. At the beginning of each period, a decision of the number of patients to be scheduled is made based on the trade-offs between the cost for overtime work and the cost for surgery postponement. A stochastic dynamic programming model is formulated to address this problem. A structural analysis of the proposed model is conducted to understand the properties of an optimal schedule policy. Based on the structural analysis, bounds on feasible actions are incorporated into a value iteration algorithm, and a brief computation experiment shows the improvement in computational efficiency. Numerical examples show that the consideration of patient priority results in significant differences in surgery schedules from the schedule that ignores the patient priority.","Surgery scheduling problem; Patient priority; Stochastic dynamic programming","","","","","","","","","","",""
"Journal Article","Fei H,Meskens N,Chu C","","A planning and scheduling problem for an operating theatre using an open scheduling strategy","Computers & Industrial Engineering","2010","58","2","221-230","","","","","","","","2010","","","","","https://www.sciencedirect.com/science/article/pii/S0360835209000801;http://dx.doi.org/10.1016/j.cie.2009.02.012","10.1016/j.cie.2009.02.012","","","The objective of this paper is to design a weekly surgery schedule in an operating theatre where time blocks are reserved for surgeons rather than specialities. Both operating rooms and places in the recovery room are assumed to be multifunctional, and the objectives are to maximise the utilisation of the operating rooms, to minimise the overtime cost in the operating theatre, and to minimise the unexpected idle time between surgical cases. This weekly operating theatre planning and scheduling problem is solved in two phases. First, the planning problem is solved to give the date of surgery for each patient, allowing for the availability of operating rooms and surgeons. Then a daily scheduling problem is devised to determine the sequence of operations in each operating room in each day, taking into account the availability of recovery beds. The planning problem is described as a set-partitioning integer-programming model and is solved by a column-generation-based heuristic (CGBH) procedure. The daily scheduling problem, based on the results obtained in the planning phase, is treated as a two-stage hybrid flow-shop problem and solved by a hybrid genetic algorithm (HGA). Our results are compared with several actual surgery schedules in a Belgian university hospital, where time blocks have been assigned to either specific surgeons or specialities several months in advance. According to the comparison results, surgery schedules obtained by the proposed method have less idle time between surgical cases, much higher utilisation of operating rooms and produce less overtime.","Operating theatre planning and scheduling problem; Open scheduling; Column generation; Heuristic procedure; Hybrid genetic algorithm","","","","","","","","","","",""
